333,183,75,95
344,182,76,96
355,184,74,94
363,185,73,93
368,185,72,91
373,181,70,89
376,180,69,87
378,176,68,86
381,174,67,86
381,173,67,85
381,173,66,84
381,173,66,84
381,174,65,82
379,175,64,81
377,173,65,82
380,174,64,81
384,172,64,81
387,171,65,82
390,172,65,82
394,176,63,81
394,176,65,82
396,178,63,81
395,176,63,81
394,174,63,80
393,174,62,78
393,172,62,78
394,171,62,78
398,172,61,77
400,172,61,77
401,172,62,78
404,174,62,79
411,180,61,77
416,186,61,77
421,192,60,76
428,197,60,77
434,199,61,77
440,199,62,79
443,196,63,81
442,190,63,80
442,183,63,80
441,173,62,78
441,166,60,77
439,158,61,77
435,149,60,76
433,142,60,77
430,135,60,76
427,132,60,76
425,132,59,75
420,132,60,76
418,138,59,74
411,147,57,73
404,152,58,74
401,158,59,75
395,162,60,77
394,168,59,75
392,172,59,75
392,176,59,74
391,179,60,76
392,179,61,77
392,176,62,79
394,172,63,80
396,168,62,79
401,166,61,77
406,161,61,77
415,154,62,79
423,149,63,81
431,148,63,80
438,147,64,81
444,145,65,83
449,143,66,84
454,145,65,83
457,150,64,81
462,155,63,80
462,157,64,81
463,158,64,81
464,160,64,81
463,159,65,82
465,161,63,81
464,161,64,81
465,161,63,81
465,160,63,81
465,159,64,81
466,158,63,80
464,156,64,81
464,154,63,80
462,152,64,81
462,150,63,80
460,147,62,79
459,144,63,80
458,142,63,80
458,141,63,81
458,141,62,79
459,142,61,77
458,140,61,77
457,138,60,77
454,132,62,78
454,129,61,77
452,123,60,77
450,120,59,75
447,115,58,74
444,110,57,72
442,107,57,72
441,107,56,71
442,109,56,71
445,112,55,69
447,115,54,68
447,117,54,69
449,120,53,67
450,125,52,67
450,130,51,65
448,134,52,67
447,140,52,67
446,146,51,65
444,147,50,64
441,148,51,65
437,149,50,63
437,150,49,62
437,150,48,61
436,150,48,61
435,149,48,61
436,150,49,63
434,155,50,63
434,162,50,64
436,167,51,65
438,176,51,65
438,180,52,66
440,185,52,67
440,189,54,68
440,193,54,68
440,198,55,69
440,204,55,69
443,206,55,69
442,205,56,71
442,204,55,69
442,204,54,68
443,202,54,69
444,202,53,67
468,172,52,67
467,171,53,67
467,175,52,66
467,179,51,65
467,182,50,64
466,182,51,65
464,180,52,67
465,179,52,67
465,179,53,67
469,179,54,69
472,179,54,69
474,180,54,69
476,180,55,70
477,181,56,71
478,180,56,71
479,180,56,71
481,179,57,73
480,178,56,71
481,177,56,71
481,177,56,71
482,177,56,71
484,177,56,71
485,177,56,71
486,175,56,71
490,175,55,70
493,175,55,70
498,175,55,69
501,173,55,70
505,173,56,71
510,173,56,71
515,171,57,72
516,170,58,74
523,167,59,75
531,164,60,76
539,163,60,76
547,162,60,76
554,162,60,77
560,163,60,77
561,161,62,78
564,162,62,78
566,162,62,78
568,160,63,80
569,159,63,80
570,158,64,81
572,157,65,83
575,159,65,83
580,160,65,82
584,161,66,84
591,164,65,83
597,166,65,83
601,167,65,83
606,168,67,85
610,169,66,84
617,169,67,85
622,169,67,86
626,170,66,84
631,171,66,84
633,173,67,85
634,174,68,86
637,176,68,86
641,177,67,86
642,178,66,84
643,176,67,86
642,175,67,86
641,174,67,85
635,171,68,86
627,165,69,88
621,164,68,86
610,158,69,88
606,159,68,86
602,157,69,88
597,158,70,89
597,159,69,88
596,159,68,86
595,158,67,86
593,154,69,87
592,150,69,88
588,143,71,90
588,138,70,89
586,131,71,90
585,124,72,92
587,120,71,90
588,121,70,89
590,123,69,87
591,123,70,89
590,124,71,90
591,125,72,91
594,127,70,89
597,128,69,87
595,127,69,87
592,126,67,86
584,128,69,87
576,130,70,89
571,134,69,88
563,140,68,86
555,145,67,86
546,149,67,86
536,149,66,84
526,146,66,84
519,144,65,83
510,138,66,84
507,132,65,82
507,122,64,81
510,109,65,82
516,97,65,83
520,87,65,82
523,78,64,81
525,65,65,83
526,55,66,84
528,48,65,83
528,40,65,83
528,33,64,81
526,25,64,81
524,16,64,81
521,6,64,81
518,-2,63,80
513,-9,62,78
509,-15,62,78
505,-22,62,78
502,-29,63,80
498,-33,62,78
497,-37,60,77
493,-42,62,78
489,-45,62,78
489,-46,61,77
485,-50,62,79
482,-52,62,79
480,-55,62,79
477,-57,63,80
473,-58,63,80
470,-56,62,78
464,-51,63,80
460,-43,62,79
456,-35,62,79
452,-27,62,79
450,-18,61,77
446,-11,60,76
444,-2,59,75
439,9,59,74
437,17,59,74
434,24,58,74
433,31,58,74
431,42,59,75
429,49,60,77
426,57,60,77
465,85,62,78
461,83,62,79
458,81,63,81
453,80,64,81
453,79,63,80
451,78,64,81
449,77,64,81
448,77,63,81
447,78,62,79
444,80,63,80
442,81,63,81
438,82,65,82
437,86,63,81
433,88,64,81
430,91,63,80
426,93,64,81
424,95,64,81
422,98,63,81
420,102,62,79
417,104,62,78
413,106,62,79
411,110,61,77
407,112,62,78
406,115,63,80
405,120,62,78
406,126,62,78
410,132,62,78
415,138,62,78
421,144,62,79
431,156,62,78
437,163,62,78
442,171,62,79
444,179,62,78
451,192,61,77
460,207,60,77
464,220,59,75
464,227,59,75
486,180,60,77
481,185,61,77
474,192,60,76
467,198,61,77
457,202,62,79
450,207,62,79
440,210,63,81
426,212,65,82
413,212,66,84
400,212,67,86
387,213,69,87
373,212,70,89
360,211,72,91
349,209,72,91
339,209,71,90
325,208,72,92
314,209,71,90
303,208,72,91
292,206,73,93
281,206,72,91
272,206,72,91
264,207,72,91
258,208,73,93
253,211,73,93
246,213,74,94
239,214,76,96
235,216,76,96
232,219,75,95
230,218,74,94
227,216,74,94
227,214,72,92
226,209,74,94
226,203,74,94
229,199,72,92
231,194,73,93
236,188,72,92
241,181,73,93
245,174,72,91
251,167,70,89
257,160,69,88
262,155,68,86
269,152,67,85
275,149,65,83
283,149,64,81
289,148,63,80
294,149,62,79
299,148,62,78
305,150,60,77
311,152,59,75
315,152,58,74
323,155,57,73
335,158,59,74
344,161,59,75
351,163,60,76
359,167,59,74
367,169,57,73
374,171,57,73
380,172,59,74
385,177,58,74
388,170,58,74
390,163,58,74
395,171,57,73
396,167,59,74
397,164,60,76
400,163,60,77
402,163,61,77
402,159,62,79
403,159,62,79
428,163,63,81
432,163,63,80
437,163,63,81
474,128,65,82
471,124,66,84
468,126,67,86
464,128,69,87
460,130,68,86
457,131,69,88
454,132,71,90
451,131,72,91
449,127,73,93
445,123,74,94
442,121,74,94
439,119,75,95
433,118,76,96
430,120,75,95
426,122,75,95
419,123,77,97
414,126,78,99
408,129,78,98
404,131,77,97
398,131,78,99
394,133,77,97
387,133,76,96
380,134,77,97
375,135,77,97
370,136,78,98
367,138,78,98
367,141,77,97
366,144,77,97
364,146,77,97
362,147,76,96
359,147,75,95
354,142,77,97
350,137,78,99
347,131,80,101
346,125,80,101
346,115,81,102
348,106,81,102
351,96,82,103
355,89,81,102
356,84,82,104
354,83,83,105
347,91,83,105
338,106,83,105
325,128,85,108
311,154,87,110
298,180,88,112
284,203,90,114
272,223,92,117
263,234,94,119
258,234,95,120
252,229,96,121
252,216,98,124
257,198,96,121
265,178,95,120
271,157,97,123
281,143,95,120
293,130,93,118
303,120,92,117
314,112,90,114
323,107,88,112
328,104,89,113
330,101,91,115
332,97,93,118
338,97,92,117
345,96,91,115
352,94,91,115
358,89,92,117
368,84,90,114
380,80,92,117
394,78,94,119
412,80,96,121
440,87,95,120
456,89,96,121
472,93,94,119
484,96,96,121
493,101,94,119
499,106,92,117
500,107,93,118
497,107,93,118
496,107,92,117
494,109,90,114
493,110,89,113
494,110,90,114
498,113,89,113
502,116,88,112
500,118,90,114
501,123,88,112
499,127,88,112
497,133,87,110
494,138,86,109
489,140,85,108
480,139,85,108
470,139,83,105
457,138,83,105
442,138,82,104
424,137,84,107
404,137,86,109
387,140,87,111
369,143,88,112
353,143,90,114
339,141,90,114
327,142,88,112
316,145,87,110
302,150,87,111
289,155,88,112
275,161,89,113
262,164,91,115
252,164,92,117
245,163,92,117
241,161,93,118
241,158,95,120
244,157,96,121
249,154,98,124
257,154,98,124
265,154,99,125
270,155,100,126
274,156,102,129
276,157,104,131
276,156,106,134
277,157,105,133
281,154,107,135
288,148,109,138
299,143,109,138
311,139,108,137
326,137,107,135
336,139,109,138
346,149,111,141
354,167,110,140
359,194,110,140
361,232,111,141
357,265,112,142
351,292,111,141
430,273,109,138
426,274,107,135
425,274,105,133
421,272,106,134
417,274,104,131
416,275,103,130
454,277,101,128
452,274,103,130
455,276,101,128
453,276,101,128
456,277,100,126
454,275,102,129
455,274,104,131
456,274,103,130
455,274,103,130
456,275,101,128
456,275,101,128
457,275,101,128
458,278,99,125
458,278,97,123
460,278,97,123
461,280,96,121
460,278,97,123
458,277,99,125
456,274,101,128
456,274,103,130
456,274,103,130
455,274,102,129
457,276,100,126
458,278,98,124
456,276,100,126
456,276,100,126
456,275,101,128
456,277,100,126
456,278,98,124
457,280,96,121
456,280,96,121
455,280,96,121
457,281,95,120
455,279,97,123
454,278,99,125
454,279,98,124
