193,176,260,243
198,135,262,197
199,117,263,182
201,95,269,163
203,91,272,162
205,97,278,170
210,108,283,179
222,151,286,228
227,233,293,310
231,395,286,460
229,366,286,431
226,278,286,337
218,233,283,292
211,159,284,223
210,124,280,192
203,62,276,132
202,38,277,107
201,0,280,65
203,-2,280,54
201,-2,277,47
203,-1,277,50
201,-1,278,62
205,15,281,88
229,133,298,207
238,192,305,269
253,312,308,387
260,376,311,454
265,328,320,395
265,297,316,353
269,239,323,296
272,213,328,269
277,170,335,224
279,154,335,209
284,133,339,187
288,129,343,180
294,130,346,182
297,137,347,187
303,160,351,209
307,179,355,229
307,266,354,313
310,311,353,366
305,303,348,353
300,281,344,322
290,235,335,276
285,216,330,258
274,186,319,229
269,175,315,219
259,164,305,203
253,162,300,204
243,173,292,215
240,205,286,252
222,288,268,339
216,326,257,369
192,268,237,314
179,247,230,287
153,204,207,251
141,184,195,232
119,158,172,204
111,146,162,193
86,130,141,181
77,124,139,176
74,121,138,174
75,119,140,179
72,131,141,192
71,155,145,208
72,195,144,261
76,230,148,303
116,386,179,458
122,365,180,432
125,280,186,339
129,240,188,298
134,174,198,226
138,142,201,196
143,91,208,151
151,73,210,130
157,48,215,105
160,44,222,101
173,45,232,98
177,50,236,103
189,79,245,139
205,130,259,197
224,249,279,308
234,303,285,367
236,306,283,359
230,274,276,323
213,215,269,269
211,187,266,242
202,140,256,197
197,121,250,175
186,95,242,144
182,87,236,136
173,79,226,128
171,80,223,130
166,114,222,162
178,170,229,211
181,262,226,309
187,311,229,367
177,297,220,342
160,247,209,289
151,221,204,271
136,181,189,229
127,167,181,213
121,152,173,202
103,126,163,186
90,123,155,180
80,125,148,178
85,166,148,231
104,243,166,310
132,350,187,411
139,306,190,361
143,221,195,277
146,184,203,244
151,110,213,165
152,85,215,136
163,33,218,85
168,14,225,66
182,-2,240,41
189,-3,244,32
203,-1,258,31
209,-2,264,36
219,0,275,45
220,5,277,60
236,70,284,132
238,115,288,173
243,212,292,267
249,260,290,311
250,307,289,352
248,279,293,328
